Category,Action,n8n Subworkflow,Role
Compliance,Profile Photo,handler-profile-photo,Updates staff.profile_photo_url
Compliance,Written References,handler-references,Collects 2 records; updates JSONB
Compliance,Employment History,handler-employment-history,Updates staff.employment_history JSONB
Compliance,OH Clearance,handler-occupational-health,Status update in compliance table
Compliance,DBS Certificate,handler-dbs-certificate,Metadata extraction + image link
Compliance,Right to Work,handler-right-to-work,Metadata extraction + image link
Compliance,Mandatory Training,handler-mandatory-training,Lists 0/10; handles uploads
Compliance,Personal Info,handler-personal-info,NLP extract for DOB; Address; Contact
Marketplace,List Shifts,get-market-shifts,Mirrors portal logic via RPC
Marketplace,Accept Shift,accept-market-shift,Availability check + DB transaction
Schedule,My Shifts,get-staff-schedule,Status-based schedule categorization
Schedule,Shift Details,get-shift-details,"Deep dive into notes, contact, & address"
Schedule,Decline Shift,decline-staff-shift,Warning logic + cancellation process
Timesheet,Image Upload,whatsapp-timesheet-handler,Routes to "perfected" OCR Edge Func
Logistics,On My Way,on-my-way-logic,Triggers shift verification chain
